Crime_ID,Date,Time,Crime_Type,Location,Latitude,Longitude,Day_of_Week,Weather_Condition,Temperature,Offender_Age,Offender_Gender,Victim_Age,Victim_Gender,Crime_Outcome
1,14-09-2023,04:16,Burglary,Park,35.417278,-75.61285,Thursday,Foggy,2.1,43,Female,67,Male,Under Investigation
2,04-03-2023,03:59,Fraud,Suburb,39.978176,-75.12703,Saturday,Cloudy,-1.3,53,Female,18,Female,Arrested
3,05-03-2022,06:05,Burglary,Highway,37.510663,-91.473535,Saturday,Snowy,11.2,47,Male,25,Female,Unsolved
4,09-08-2022,08:26,Robbery,Industrial Zone,39.688416,-114.435873,Tuesday,Snowy,10,33,Female,48,Male,Unsolved
5,01-01-2023,08:22,Theft,Park,36.138684,-75.326684,Sunday,Cloudy,34.4,37,Male,73,Male,Unsolved
6,01-11-2022,08:45,Vandalism,Highway,35.717898,-87.875405,Tuesday,Foggy,13.1,34,Female,62,Male,Arrested
7,04-07-2023,20:42,Drug Offense,Mall,39.678498,-111.636153,Tuesday,Cloudy,14.3,38,Female,32,Female,Under Investigation
8,19-02-2023,02:12,Homicide,Highway,34.869668,-93.101948,Sunday,Foggy,18,51,Male,50,Female,Arrested
9,29-08-2022,12:17,Theft,Industrial Zone,35.355441,-89.606121,Monday,Clear,14.1,18,Male,34,Female,Unsolved
10,25-07-2022,06:08,Drug Offense,Downtown,38.739544,-108.40432,Monday,Cloudy,19.1,20,Male,15,Female,Unsolved
11,11-08-2022,12:58,Fraud,Industrial Zone,35.879758,-92.415716,Thursday,Clear,-4,54,Female,40,Female,Arrested
12,31-01-2023,07:14,Robbery,Highway,37.017062,-91.380298,Tuesday,Clear,23.6,60,Female,36,Female,Under Investigation
13,30-06-2022,17:19,Assault,Industrial Zone,36.4354,-81.960573,Thursday,Foggy,9.3,24,Male,55,Female,Arrested
14,24-03-2022,08:23,Assault,Suburb,38.796023,-117.904082,Thursday,Cloudy,13.3,42,Male,29,Male,Unsolved
15,25-09-2022,06:45,Theft,Mall,37.080233,-101.406391,Sunday,Rainy,14.9,27,Male,17,Male,Under Investigation
16,17-03-2022,08:08,Homicide,Downtown,37.705034,-111.762943,Thursday,Cloudy,24.4,49,Female,75,Female,Arrested
17,16-05-2023,01:36,Burglary,Mall,34.431091,-117.789056,Tuesday,Cloudy,3.5,59,Male,16,Female,Arrested
18,18-10-2022,10:13,Vandalism,Suburb,39.19625,-115.179161,Tuesday,Clear,27.4,17,Male,40,Male,Unsolved
19,28-08-2023,07:23,Assault,Highway,36.095763,-79.842396,Monday,Rainy,3,32,Male,31,Female,Arrested
20,13-10-2022,07:54,Assault,Mall,37.245184,-76.353299,Thursday,Clear,29.6,47,Male,29,Male,Under Investigation
21,18-07-2022,11:27,Homicide,Suburb,38.680662,-96.965998,Monday,Clear,15.5,42,Male,70,Female,Arrested
22,14-07-2022,08:19,Burglary,Park,37.035676,-107.763382,Thursday,Rainy,12.9,54,Male,46,Male,Unsolved
23,10-12-2022,12:26,Homicide,Park,36.452405,-117.339264,Saturday,Cloudy,-2.9,29,Male,17,Female,Arrested
24,01-11-2023,07:49,Fraud,Residential Area,36.781699,-88.481377,Wednesday,Cloudy,23.3,56,Female,32,Female,Under Investigation
25,23-11-2022,12:40,Assault,Mall,38.734099,-103.834662,Wednesday,Snowy,10.6,31,Female,44,Male,Arrested
26,28-01-2023,01:14,Theft,Park,39.012589,-84.780986,Saturday,Rainy,12.8,35,Male,38,Female,Arrested
27,04-06-2023,01:29,Homicide,Mall,39.563188,-85.692807,Sunday,Cloudy,28.9,17,Female,59,Female,Unsolved
28,10-02-2023,19:40,Homicide,Residential Area,39.620033,-90.988951,Friday,Rainy,9.4,36,Female,77,Male,Under Investigation
29,04-10-2022,13:06,Drug Offense,Mall,36.34367,-109.741778,Tuesday,Rainy,7.3,58,Female,33,Female,Unsolved
30,09-06-2022,09:59,Burglary,Industrial Zone,35.661344,-89.317609,Thursday,Snowy,-0.9,53,Male,46,Male,Under Investigation
31,25-12-2022,03:13,Burglary,Park,37.882139,-107.130974,Sunday,Rainy,11.5,30,Male,18,Female,Arrested
32,12-01-2023,18:40,Robbery,Industrial Zone,34.233544,-113.915437,Thursday,Clear,13.6,24,Male,24,Female,Unsolved
33,28-05-2023,22:04,Robbery,Highway,38.045997,-95.624446,Sunday,Snowy,27,52,Male,43,Female,Unsolved
34,10-05-2023,23:45,Theft,Mall,36.710181,-111.970178,Wednesday,Snowy,-2.6,59,Female,64,Male,Unsolved
35,28-11-2022,10:48,Vandalism,Park,37.827235,-112.377393,Monday,Clear,14.8,56,Female,11,Male,Arrested
36,01-07-2022,02:39,Drug Offense,Residential Area,37.903098,-113.035574,Friday,Snowy,-0.3,26,Male,56,Male,Unsolved
37,04-09-2023,05:44,Assault,Downtown,38.601343,-75.791892,Monday,Rainy,11.3,56,Male,33,Female,Unsolved
38,15-06-2022,19:20,Burglary,Residential Area,36.074047,-116.490493,Wednesday,Rainy,18.8,58,Female,64,Female,Arrested
39,03-12-2022,02:05,Burglary,Highway,34.936025,-89.415164,Saturday,Snowy,8.6,29,Female,53,Female,Unsolved
40,16-06-2023,18:37,Burglary,Suburb,35.612112,-105.289971,Friday,Clear,27.6,46,Female,25,Male,Unsolved
41,07-01-2023,23:48,Vandalism,Park,37.024705,-117.630191,Saturday,Cloudy,-4.1,58,Female,20,Male,Unsolved
42,02-12-2023,11:17,Theft,Residential Area,34.463195,-99.185467,Saturday,Snowy,-1.7,17,Female,25,Female,Under Investigation
43,02-10-2023,22:39,Robbery,Mall,34.074002,-84.435316,Monday,Snowy,12.6,22,Female,69,Male,Under Investigation
44,19-03-2022,11:51,Drug Offense,Industrial Zone,36.162103,-107.162334,Saturday,Cloudy,10.3,24,Female,40,Female,Under Investigation
45,03-07-2023,06:53,Homicide,Highway,35.568581,-96.196286,Monday,Rainy,1.7,31,Female,76,Female,Arrested
46,01-11-2023,05:40,Robbery,Residential Area,37.096375,-84.236657,Wednesday,Cloudy,7,51,Male,25,Female,Unsolved
47,14-01-2022,09:58,Theft,Suburb,35.773441,-102.260208,Friday,Snowy,-2.3,38,Male,11,Male,Under Investigation
48,31-03-2022,14:24,Homicide,Suburb,35.295954,-75.917739,Thursday,Clear,12.5,33,Male,28,Female,Arrested
49,05-02-2023,06:53,Theft,Downtown,38.798447,-92.506878,Sunday,Foggy,-3.3,28,Male,57,Male,Under Investigation
50,01-10-2022,21:53,Robbery,Downtown,39.551908,-110.19624,Saturday,Cloudy,33.8,20,Male,26,Female,Arrested
51,31-03-2023,10:28,Vandalism,Residential Area,37.120357,-111.122211,Friday,Foggy,9.7,18,Female,10,Male,Under Investigation
52,18-06-2022,23:40,Homicide,Mall,38.176963,-109.081106,Saturday,Snowy,11.5,37,Female,27,Female,Arrested
53,16-02-2022,06:32,Homicide,Park,39.661022,-89.001701,Wednesday,Rainy,0.8,31,Male,14,Male,Under Investigation
54,01-09-2023,02:34,Robbery,Mall,38.789191,-102.151374,Friday,Rainy,10.7,45,Female,13,Female,Under Investigation
55,18-08-2022,10:46,Theft,Mall,34.263711,-104.862254,Thursday,Cloudy,10.3,45,Male,39,Female,Arrested
56,12-07-2023,07:19,Fraud,Suburb,37.113689,-96.930094,Wednesday,Rainy,15,31,Male,62,Male,Arrested
57,05-08-2022,04:58,Assault,Industrial Zone,38.807054,-76.612225,Friday,Clear,29.1,51,Female,65,Female,Under Investigation
58,28-03-2023,17:19,Burglary,Mall,37.629706,-75.81066,Tuesday,Snowy,17.8,60,Female,57,Male,Unsolved
